Player,Team,Position,Fee,Season,Transfer
Gabriel Jesus,Manchester City,Centre-Forward,32.0,2016/2017,Arrival
Oscar,Chelsea,Attacking Midfield,32.0,2012/2013,Arrival
André Schürrle,Chelsea,Left Winger,32.0,2014/2015,Departure
Christian Benteke,Liverpool,Centre-Forward,31.2,2016/2017,Departure
Adam Lallana,Liverpool,Attacking Midfield,31.0,2014/2015,Arrival
Juan Cuadrado,Chelsea,Right Midfield,31.0,2014/2015,Arrival
Robin van Persie,Manchester United,Centre-Forward,30.7,2012/2013,Arrival
Robin van Persie,Arsenal,Centre-Forward,30.7,2012/2013,Departure
Heung-min Son,Tottenham Hotspur,Left Winger,30.0,2015/2016,Arrival
Roberto Soldado,Tottenham Hotspur,Centre-Forward,30.0,2013/2014,Arrival
Erik Lamela,Tottenham Hotspur,Right Winger,30.0,2013/2014,Arrival
Danilo,Manchester City,Centre-Back,30.0,2017/2018,Arrival
Lucas Torreira,Arsenal,Defensive Midfield,28.65,2018/2019,Arrival
Lucas Moura,Tottenham Hotspur,Right Winger,28.4,2017/2018,Arrival
Mamadou Sakho,Liverpool,Centre-Back,28.2,2017/2018,Departure
Álvaro Negredo,Manchester City,Centre-Forward,28.0,2015/2016,Departure
Ramires,Chelsea,Central Midfield,28.0,2015/2016,Departure
Kelechi Iheanacho,Manchester City,Centre-Forward,27.7,2017/2018,Departure
Georginio Wijnaldum,Liverpool,Central Midfield,27.5,2016/2017,Arrival
İlkay Gündoğan,Manchester City,Central Midfield,27.0,2016/2017,Arrival
Pedro,Chelsea,Right Winger,27.0,2015/2016,Arrival
Abdul Rahman Baba,Chelsea,Left-Back,26.0,2015/2016,Arrival
Stevan Jovetic,Manchester City,Centre-Forward,26.0,2013/2014,Arrival
Dejan Lovren,Liverpool,Centre-Back,25.3,2014/2015,Arrival
Serge Aurier,Tottenham Hotspur,Right-Back,25.0,2017/2018,Arrival
Davide Zappacosta,Chelsea,Right Midfield,25.0,2017/2018,Arrival
Lazar Markovic,Liverpool,Right Winger,25.0,2014/2015,Arrival
Nemanja Matic,Chelsea,Defensive Midfield,25.0,2013/2014,Arrival
Bernd Leno,Arsenal,Goalkeeper,25.0,2018/2019,Arrival
Álvaro Negredo,Manchester City,Centre-Forward,25.0,2013/2014,Arrival
Marcos Alonso,Chelsea,Left-Back,23.0,2016/2017,Arrival
Morgan Schneiderlin,Manchester United,Defensive Midfield,23.0,2016/2017,Departure
Nathan Aké,Chelsea,Centre-Back,22.8,2017/2018,Departure
Theo Walcott,Arsenal,Right Winger,22.5,2017/2018,Departure
André Schürrle,Chelsea,Left Winger,22.0,2013/2014,Arrival
Diogo Dalot,Manchester United,Right-Back,22.0,2018/2019,Arrival
Vincent Janssen,Tottenham Hotspur,Centre-Forward,22.0,2016/2017,Arrival
Kevin De Bruyne,Chelsea,Attacking Midfield,22.0,2013/2014,Departure
Dominic Solanke,Liverpool,Centre-Forward,21.2,2018/2019,Departure
Calum Chambers,Arsenal,Centre-Back,20.23,2014/2015,Arrival
Javi García,Manchester City,Defensive Midfield,20.2,2012/2013,Arrival
Danny Welbeck,Arsenal,Centre-Forward,20.0,2014/2015,Arrival
Mario Balotelli,Manchester City,Centre-Forward,20.0,2012/2013,Departure
Lucas Pérez,Arsenal,Centre-Forward,20.0,2016/2017,Arrival
Juan Cuadrado,Chelsea,Right Midfield,20.0,2017/2018,Departure
Marcos Rojo,Manchester United,Centre-Back,20.0,2014/2015,Arrival
Mario Balotelli,Liverpool,Centre-Forward,20.0,2014/2015,Arrival
Emerson,Chelsea,Left-Back,20.0,2017/2018,Arrival
Filipe Luís,Chelsea,Left-Back,20.0,2014/2015,Arrival
Danny Welbeck,Manchester United,Centre-Forward,20.0,2014/2015,Departure
Jesús Navas,Manchester City,Right-Back,20.0,2013/2014,Arrival
Paulinho,Tottenham Hotspur,Central Midfield,19.75,2013/2014,Arrival
Kevin Wimmer,Tottenham Hotspur,Centre-Back,19.4,2017/2018,Departure
Mousa Dembélé,Tottenham Hotspur,Central Midfield,19.0,2012/2013,Arrival
Thomas Vermaelen,Arsenal,Centre-Back,19.0,2014/2015,Departure
Alex Song,Arsenal,Defensive Midfield,19.0,2012/2013,Departure
Nabil Bentaleb,Tottenham Hotspur,Defensive Midfield,19.0,2017/2018,Departure
Santi Cazorla,Arsenal,Central Midfield,19.0,2012/2013,Arrival
Joe Allen,Liverpool,Central Midfield,19.0,2012/2013,Arrival
Mamadou Sakho,Liverpool,Centre-Back,19.0,2013/2014,Arrival
Wojciech Szczęsny,Arsenal,Goalkeeper,18.4,2017/2018,Departure
Matteo Darmian,Manchester United,Right-Back,18.0,2015/2016,Arrival
Nolito,Manchester City,Left Winger,18.0,2016/2017,Arrival
Claudio Bravo,Manchester City,Goalkeeper,18.0,2016/2017,Arrival
Alberto Moreno,Liverpool,Left-Back,18.0,2014/2015,Arrival
Álvaro Morata,Chelsea,Centre-Forward,18.0,2018/2019,Departure
Jordon Ibe,Liverpool,Right Winger,18.0,2016/2017,Departure
Nathaniel Clyne,Liverpool,Right-Back,17.7,2015/2016,Arrival
Daley Blind,Manchester United,Centre-Back,17.5,2014/2015,Arrival
Andy Carroll,Liverpool,Centre-Forward,17.5,2013/2014,Departure
Olivier Giroud,Arsenal,Centre-Forward,17.0,2017/2018,Departure
Brahim Díaz,Manchester City,Attacking Midfield,17.0,2018/2019,Departure
Olivier Giroud,Chelsea,Centre-Forward,17.0,2017/2018,Arrival
Javi García,Manchester City,Defensive Midfield,16.8,2014/2015,Departure
Ross Barkley,Chelsea,Central Midfield,16.8,2017/2018,Arrival
Mohamed Salah,Chelsea,Right Winger,16.5,2013/2014,Arrival
Filipe Luís,Chelsea,Left-Back,16.0,2015/2016,Departure
Sokratis Papastathopoulos,Arsenal,Centre-Back,16.0,2018/2019,Arrival
Memphis Depay,Manchester United,Centre-Forward,16.0,2016/2017,Departure
Daley Blind,Manchester United,Centre-Back,16.0,2018/2019,Departure
Shinji Kagawa,Manchester United,Attacking Midfield,16.0,2012/2013,Arrival
Toby Alderweireld,Tottenham Hotspur,Centre-Back,16.0,2015/2016,Arrival
Roberto Soldado,Tottenham Hotspur,Centre-Forward,16.0,2015/2016,Departure
Andros Townsend,Tottenham Hotspur,Right Winger,15.7,2015/2016,Departure
Joe Allen,Liverpool,Central Midfield,15.5,2016/2017,Departure
Ryan Mason,Tottenham Hotspur,Central Midfield,15.4,2016/2017,Departure
Matija Nastasic,Manchester City,Centre-Back,15.2,2012/2013,Arrival
Nacer Chadli,Tottenham Hotspur,Left Winger,15.2,2016/2017,Departure
Fernando Llorente,Tottenham Hotspur,Centre-Forward,15.1,2017/2018,Arrival
Mathieu Debuchy,Arsenal,Right-Back,15.0,2014/2015,Arrival
Daniel Sturridge,Chelsea,Centre-Forward,15.0,2012/2013,Departure
Mohamed Salah,Chelsea,Right Winger,15.0,2016/2017,Departure
Fernando,Manchester City,Defensive Midfield,15.0,2014/2015,Arrival
Daniel Sturridge,Liverpool,Centre-Forward,15.0,2012/2013,Arrival
Lukas Podolski,Arsenal,Attacking Midfield,15.0,2012/2013,Arrival
Jack Rodwell,Manchester City,Centre-Back,15.0,2012/2013,Arrival
Gabriel Paulista,Arsenal,Centre-Back,15.0,2014/2015,Arrival
Xherdan Shaqiri,Liverpool,Attacking Midfield,14.7,2018/2019,Arrival
Kurt Zouma,Chelsea,Centre-Back,14.6,2013/2014,Arrival
Victor Wanyama,Tottenham Hotspur,Defensive Midfield,14.4,2016/2017,Arrival
Christian Eriksen,Tottenham Hotspur,Central Midfield,14.15,2013/2014,Arrival
Clinton N'Jie,Tottenham Hotspur,Right Winger,14.1,2015/2016,Arrival
Petr Cech,Arsenal,Goalkeeper,14.0,2015/2016,Arrival
Petr Cech,Chelsea,Goalkeeper,14.0,2015/2016,Departure
Danny Ward,Liverpool,Goalkeeper,14.0,2018/2019,Departure
Francis Coquelin,Arsenal,Defensive Midfield,14.0,2017/2018,Departure
Enes Ünal,Manchester City,Centre-Forward,14.0,2017/2018,Departure
Paulinho,Tottenham Hotspur,Central Midfield,14.0,2015/2016,Departure
Carlos Vela,Arsenal,Right Winger,14.0,2012/2013,Departure
Stevan Jovetic,Manchester City,Centre-Forward,13.5,2016/2017,Departure
Fabio Borini,Liverpool,Left Winger,13.3,2012/2013,Arrival
Ryan Bertrand,Chelsea,Left-Back,13.3,2014/2015,Departure
Loïc Rémy,Chelsea,Centre-Forward,13.2,2014/2015,Arrival
Wilfried Bony,Manchester City,Centre-Forward,13.0,2017/2018,Departure
Philippe Coutinho,Liverpool,Attacking Midfield,13.0,2012/2013,Arrival
Rafael van der Vaart,Tottenham Hotspur,Attacking Midfield,13.0,2012/2013,Departure
Ben Davies,Tottenham Hotspur,Left-Back,12.65,2014/2015,Arrival
Divock Origi,Liverpool,Centre-Forward,12.63,2014/2015,Arrival
Adam Johnson,Manchester City,Right Winger,12.6,2012/2013,Departure
Hugo Lloris,Tottenham Hotspur,Goalkeeper,12.6,2012/2013,Arrival
Mohamed Elneny,Arsenal,Defensive Midfield,12.5,2015/2016,Arrival
Jan Vertonghen,Tottenham Hotspur,Centre-Back,12.5,2012/2013,Arrival
Jack Rodwell,Manchester City,Centre-Back,12.5,2014/2015,Departure
Rony Lopes,Manchester City,Right Winger,12.0,2015/2016,Departure
Emre Can,Liverpool,Defensive Midfield,12.0,2014/2015,Arrival
Douglas Luiz,Manchester City,Central Midfield,12.0,2017/2018,Arrival
Olivier Giroud,Arsenal,Centre-Forward,12.0,2012/2013,Arrival
Chicharito,Manchester United,Centre-Forward,12.0,2015/2016,Departure
Wilfried Zaha,Manchester United,Left Winger,11.75,2012/2013,Arrival
Victor Moses,Chelsea,Right Midfield,11.5,2012/2013,Arrival
Fabian Delph,Manchester City,Central Midfield,11.5,2015/2016,Arrival
Asmir Begovic,Chelsea,Goalkeeper,11.5,2017/2018,Departure
Angus Gunn,Manchester City,Goalkeeper,11.3,2018/2019,Departure
Georges-Kevin N'Koudou,Tottenham Hotspur,Left Winger,11.0,2016/2017,Arrival
Asmir Begovic,Chelsea,Goalkeeper,11.0,2015/2016,Arrival
Gabriel Paulista,Arsenal,Centre-Back,11.0,2017/2018,Departure
Étienne Capoue,Tottenham Hotspur,Defensive Midfield,11.0,2013/2014,Arrival
Edin Dzeko,Manchester City,Centre-Forward,11.0,2016/2017,Departure
Iago Aspas,Liverpool,Centre-Forward,10.8,2013/2014,Arrival
Fabio Borini,Liverpool,Left Winger,10.7,2015/2016,Departure
Simon Mignolet,Liverpool,Goalkeeper,10.6,2013/2014,Arrival
Juan Foyth,Tottenham Hotspur,Right-Back,10.5,2017/2018,Arrival
Gylfi Sigurdsson,Tottenham Hotspur,Attacking Midfield,10.1,2014/2015,Departure
Federico Fazio,Tottenham Hotspur,Centre-Back,10.0,2014/2015,Arrival
Bertrand Traoré,Chelsea,Right Winger,10.0,2017/2018,Departure
Nacho Monreal,Arsenal,Left-Back,10.0,2012/2013,Arrival
Jason Denayer,Manchester City,Centre-Back,10.0,2018/2019,Departure
Raúl Meireles,Chelsea,Central Midfield,10.0,2012/2013,Departure
Gylfi Sigurdsson,Tottenham Hotspur,Attacking Midfield,10.0,2012/2013,Arrival
Vlad Chiricheș,Tottenham Hotspur,Centre-Back,9.5,2013/2014,Arrival
Papy Djilobodji,Chelsea,Centre-Back,9.5,2016/2017,Departure
Matija Nastasic,Manchester City,Centre-Back,9.5,2015/2016,Departure
Marco van Ginkel,Chelsea,Central Midfield,9.4,2013/2014,Arrival
Alex Pritchard,Tottenham Hotspur,Attacking Midfield,9.4,2016/2017,Departure
Steven Caulker,Tottenham Hotspur,Centre-Back,9.15,2013/2014,Departure
Aaron Mooy,Manchester City,Central Midfield,9.1,2017/2018,Departure
Jermain Defoe,Tottenham Hotspur,Centre-Forward,9.09,2013/2014,Departure
Cesc Fàbregas,Chelsea,Central Midfield,9.0,2018/2019,Departure
Bastian Schweinsteiger,Manchester United,Central Midfield,9.0,2015/2016,Arrival
Pablo Maffeo,Manchester City,Right-Back,9.0,2018/2019,Departure
Andrew Robertson,Liverpool,Left-Back,9.0,2017/2018,Arrival
Carlos Tevez,Manchester City,Second Striker,9.0,2013/2014,Departure
Étienne Capoue,Tottenham Hotspur,Defensive Midfield,8.9,2015/2016,Departure
César Azpilicueta,Chelsea,Right-Back,8.8,2012/2013,Arrival
Benjamin Stambouli,Tottenham Hotspur,Defensive Midfield,8.6,2015/2016,Departure
Adnan Januzaj,Manchester United,Right Winger,8.5,2017/2018,Departure
Demba Ba,Chelsea,Centre-Forward,8.5,2012/2013,Arrival
Danny Ings,Liverpool,Centre-Forward,8.3,2015/2016,Arrival
Jonny Evans,Manchester United,Centre-Back,8.3,2015/2016,Departure
Clint Dempsey,Tottenham Hotspur,Second Striker,8.18,2013/2014,Departure
Nacer Chadli,Tottenham Hotspur,Left Winger,8.15,2013/2014,Arrival
Mattéo Guendouzi,Arsenal,Central Midfield,8.0,2018/2019,Arrival
Gervinho,Arsenal,Left Winger,8.0,2013/2014,Departure
Marko Marin,Chelsea,Attacking Midfield,8.0,2012/2013,Arrival
Luis Alberto,Liverpool,Central Midfield,8.0,2013/2014,Arrival
Thorgan Hazard,Chelsea,Left Winger,8.0,2015/2016,Departure
Willy Caballero,Manchester City,Goalkeeper,8.0,2014/2015,Arrival
Kenedy,Chelsea,Left Winger,8.0,2015/2016,Arrival
Shinji Kagawa,Manchester United,Attacking Midfield,8.0,2014/2015,Departure
Kurt Zouma,Chelsea,Centre-Back,7.9,2018/2019,Departure
Gonzalo Higuaín,Chelsea,Centre-Forward,7.8,2018/2019,Arrival
Kurt Zouma,Chelsea,Centre-Back,7.8,2017/2018,Departure
Scott Sinclair,Manchester City,Left Winger,7.8,2012/2013,Arrival
Radamel Falcao,Manchester United,Centre-Forward,7.6,2014/2015,Arrival
Kieran Gibbs,Arsenal,Left-Back,7.5,2017/2018,Departure
Tiago Ilori,Liverpool,Centre-Back,7.5,2013/2014,Arrival
Nick Powell,Manchester United,Attacking Midfield,7.5,2012/2013,Arrival
Clint Dempsey,Tottenham Hotspur,Second Striker,7.5,2012/2013,Arrival
Sandro,Tottenham Hotspur,Defensive Midfield,7.5,2014/2015,Departure
Christian Atsu,Chelsea,Left Winger,7.5,2017/2018,Departure
Sam Johnstone,Manchester United,Goalkeeper,7.35,2018/2019,Departure
Marouane Fellaini,Manchester United,Central Midfield,7.2,2018/2019,Departure
Patrick Roberts,Manchester City,Right Winger,7.2,2015/2016,Arrival
Gerónimo Rulli,Manchester City,Goalkeeper,7.0,2016/2017,Departure
Niko Kranjcar,Tottenham Hotspur,Attacking Midfield,7.0,2012/2013,Departure
Vlad Chiricheș,Tottenham Hotspur,Centre-Back,7.0,2015/2016,Departure
Jake Livermore,Tottenham Hotspur,Defensive Midfield,7.0,2014/2015,Departure
Vedran Corluka,Tottenham Hotspur,Centre-Back,7.0,2012/2013,Departure
Nolito,Manchester City,Left Winger,7.0,2017/2018,Departure
Clinton N'Jie,Tottenham Hotspur,Right Winger,7.0,2017/2018,Departure
Marko Grujic,Liverpool,Defensive Midfield,7.0,2015/2016,Arrival
Radamel Falcao,Chelsea,Centre-Forward,7.0,2015/2016,Arrival
Oriol Romeu,Chelsea,Defensive Midfield,7.0,2015/2016,Departure
Patrick Bamford,Chelsea,Centre-Forward,6.9,2016/2017,Departure
Dele Alli,Tottenham Hotspur,Attacking Midfield,6.63,2014/2015,Arrival
Kyle Naughton,Tottenham Hotspur,Right-Back,6.6,2014/2015,Departure
Divock Origi,Liverpool,Centre-Forward,6.5,2017/2018,Departure
Robin van Persie,Manchester United,Centre-Forward,6.5,2015/2016,Departure
Lewis Holtby,Tottenham Hotspur,Central Midfield,6.5,2015/2016,Departure
Emmanuel Adebayor,Manchester City,Centre-Forward,6.4,2012/2013,Departure
Emmanuel Adebayor,Tottenham Hotspur,Centre-Forward,6.4,2012/2013,Arrival
Ante Palaversa,Manchester City,Central Midfield,6.3,2018/2019,Arrival
Nathaniel Chalobah,Chelsea,Defensive Midfield,6.3,2017/2018,Departure
Charlie Adam,Liverpool,Central Midfield,6.2,2012/2013,Departure
Loris Karius,Liverpool,Goalkeeper,6.2,2016/2017,Arrival
Oussama Assaidi,Liverpool,Left Winger,6.0,2014/2015,Departure
Gaël Kakuta,Chelsea,Attacking Midfield,6.0,2015/2016,Departure
Martin Skrtel,Liverpool,Centre-Back,6.0,2016/2017,Departure
Demba Ba,Chelsea,Centre-Forward,6.0,2014/2015,Departure
Nani,Manchester United,Left Winger,6.0,2015/2016,Departure
Fernando,Manchester City,Defensive Midfield,6.0,2017/2018,Departure
Iago Aspas,Liverpool,Centre-Forward,6.0,2015/2016,Departure
Aaron Lennon,Tottenham Hotspur,Right Winger,6.0,2015/2016,Departure
Kevin Wimmer,Tottenham Hotspur,Centre-Back,6.0,2015/2016,Arrival
Benjamin Stambouli,Tottenham Hotspur,Defensive Midfield,5.9,2014/2015,Arrival
DeAndre Yedlin,Tottenham Hotspur,Right-Back,5.9,2016/2017,Departure
Stewart Downing,Liverpool,Left Midfield,5.8,2013/2014,Departure
Tom Huddlestone,Tottenham Hotspur,Defensive Midfield,5.8,2013/2014,Departure
Jonjo Shelvey,Liverpool,Central Midfield,5.8,2013/2014,Departure
Steven Pienaar,Tottenham Hotspur,Left Midfield,5.75,2012/2013,Departure
Michel Vorm,Tottenham Hotspur,Goalkeeper,5.7,2014/2015,Arrival
Lucas Leiva,Liverpool,Defensive Midfield,5.7,2017/2018,Departure
Alexander Büttner,Manchester United,Left-Back,5.5,2014/2015,Departure
Rickie Lambert,Liverpool,Centre-Forward,5.5,2014/2015,Arrival
Marlos Moreno,Manchester City,Left Winger,5.5,2016/2017,Arrival
Ángelo Henríquez,Manchester United,Centre-Forward,5.5,2012/2013,Arrival
Michael Hector,Chelsea,Centre-Back,5.4,2015/2016,Arrival
Wallace Oliveira,Chelsea,Right-Back,5.4,2012/2013,Arrival
Mousa Dembélé,Tottenham Hotspur,Central Midfield,5.35,2018/2019,Departure
Paddy McNair,Manchester United,Centre-Back,5.25,2016/2017,Departure
Tom Carroll,Tottenham Hotspur,Central Midfield,5.2,2016/2017,Departure
Tiemoué Bakayoko,Chelsea,Defensive Midfield,5.0,2018/2019,Departure
Juan Cuadrado,Chelsea,Right Midfield,5.0,2016/2017,Departure
Dimitar Berbatov,Manchester United,Centre-Forward,5.0,2012/2013,Departure
Ragnar Klavan,Liverpool,Centre-Back,5.0,2016/2017,Arrival
Serge Gnabry,Arsenal,Right Winger,5.0,2016/2017,Departure
Aleksandar Kolarov,Manchester City,Left-Back,5.0,2017/2018,Departure
Alexander Büttner,Manchester United,Left-Back,5.0,2012/2013,Arrival
Eric Dier,Tottenham Hotspur,Centre-Back,5.0,2014/2015,Arrival
Karim Rekik,Manchester City,Centre-Back,5.0,2015/2016,Departure
Nuri Şahin,Liverpool,Defensive Midfield,5.0,2012/2013,Arrival
Mohamed Salah,Chelsea,Right Winger,5.0,2015/2016,Departure
Kieran Trippier,Tottenham Hotspur,Right-Back,4.9,2015/2016,Arrival
Joe Gomez,Liverpool,Centre-Back,4.9,2015/2016,Arrival
Gerónimo Rulli,Manchester City,Goalkeeper,4.7,2016/2017,Arrival
Matt Miazga,Chelsea,Centre-Back,4.6,2015/2016,Arrival
Kevin Stewart,Liverpool,Defensive Midfield,4.5,2017/2018,Departure
Stipe Perica,Chelsea,Centre-Forward,4.5,2016/2017,Departure
Martín Demichelis,Manchester City,Centre-Back,4.5,2013/2014,Arrival
Enes Ünal,Manchester City,Centre-Forward,4.4,2015/2016,Arrival
Lucas Pérez,Arsenal,Centre-Forward,4.4,2018/2019,Departure
Michael Dawson,Tottenham Hotspur,Centre-Back,4.4,2014/2015,Departure
Scott Parker,Tottenham Hotspur,Central Midfield,4.3,2013/2014,Departure
Younès Kaboul,Tottenham Hotspur,Centre-Back,4.3,2015/2016,Departure
Tiago Ilori,Liverpool,Centre-Back,4.3,2016/2017,Departure
Rickie Lambert,Liverpool,Centre-Forward,4.2,2015/2016,Departure
Luis Alberto,Liverpool,Central Midfield,4.0,2016/2017,Departure
Edin Dzeko,Manchester City,Centre-Forward,4.0,2015/2016,Departure
Daniel Agger,Liverpool,Centre-Back,4.0,2014/2015,Departure
Takuma Asano,Arsenal,Right Winger,4.0,2016/2017,Arrival
Oussama Assaidi,Liverpool,Left Winger,4.0,2012/2013,Arrival
Jack Harrison,Manchester City,Right Winger,4.0,2017/2018,Arrival
David Ospina,Arsenal,Goalkeeper,4.0,2014/2015,Arrival
Nathan,Chelsea,Attacking Midfield,4.0,2015/2016,Arrival
Joe Hart,Manchester City,Goalkeeper,3.9,2018/2019,Departure
Wilfried Zaha,Manchester United,Left Winger,3.8,2014/2015,Departure
Olarenwaju Kayode,Manchester City,Centre-Forward,3.8,2017/2018,Arrival
Zeki Fryers,Tottenham Hotspur,Left-Back,3.8,2014/2015,Departure
Maicon,Manchester City,Right-Back,3.75,2012/2013,Arrival
Brad Smith,Liverpool,Left-Back,3.6,2016/2017,Departure
Jeffrey Bruma,Chelsea,Centre-Back,3.5,2013/2014,Departure
Scott Sinclair,Manchester City,Left Winger,3.5,2015/2016,Departure
Romelu Lukaku,Chelsea,Centre-Forward,3.5,2013/2014,Departure
Nigel de Jong,Manchester City,Defensive Midfield,3.5,2012/2013,Departure
Papy Djilobodji,Chelsea,Centre-Back,3.5,2015/2016,Arrival
Zeki Fryers,Tottenham Hotspur,Left-Back,3.5,2012/2013,Arrival
Samir Nasri,Manchester City,Attacking Midfield,3.5,2017/2018,Departure
Bersant Celina,Manchester City,Attacking Midfield,3.4,2018/2019,Departure
Rafael,Manchester United,Right-Back,3.2,2015/2016,Departure
Federico Fazio,Tottenham Hotspur,Centre-Back,3.2,2017/2018,Departure
